k,Word,SemSim,Include
0,great,0.75506317615509,
1,bad,0.655578851699829,f
2,terrible,0.648640930652618,f
3,fantastic,0.64557009935379,
4,decent,0.620929658412933,
5,shitty,0.545226812362671,f
6,nice,0.538375973701477,
7,wonderful,0.53547066450119,
8,solid,0.525513112545013,
9,horrible,0.520506262779236,f
10,excellent,0.520099520683289,
11,awesome,0.505813717842102,
12,tough,0.496804088354111,f
13,smart,0.495295763015747,
14,cool,0.487581968307495,
15,crappy,0.476542621850967,f
16,phenomenal,0.475679337978363,
17,commendable,0.463948428630829,
18,rough,0.462038457393646,
19,terrific,0.451781034469605,
20,silly,0.446507334709168,
21,valid,0.446251034736633,
22,perfect,0.442159056663513,
23,brilliant,0.440220147371292,
24,stellar,0.438710391521454,
25,best,0.43540632724762,
26,reasonable,0.433847874403,
27,strong,0.425832450389862,
28,sensible,0.420216888189316,
29,fair,0.41959348320961,
30,amazing,0.418882519006729,
31,wise,0.416617870330811,
32,better,0.415818423032761,
33,bleak,0.414502501487732,
34,dumb,0.412591278553009,
35,straightforward,0.411568552255631,
36,weird,0.410502284765244,
37,grim,0.406294345855713,
38,tricky,0.406234502792358,
39,simple,0.405792772769928,
40,admirable,0.403728574514389,
41,useful,0.403292894363403,
42,impressive,0.401951164007187,
43,helpful,0.399712413549423,
44,clever,0.399590224027634,
45,strange,0.396996408700943,
46,noble,0.396033316850662,
47,reassuring,0.394822180271149,
48,awful,0.393369078636169,
49,neat,0.393336474895477,
